frameno;frametime;cir_pos;color
2150;0.0927119255066;"[(698.5, 340.5), (286.5, 396.5), (722.5, 382.5)]";"[0, 0, 1]"
2151;0.0781919956207;"[(766.5, 371.5), (723.5, 382.5)]";"[0, 1]"
2152;0.0557429790497;"[(766.5, 370.5)]";"[0]"
2153;0.0698201656342;"[(278.5, 394.5)]";"[0]"
2154;0.0858829021454;"[(700.5, 338.5), (276.5, 394.5), (98.5, 387.5)]";"[0, 0, 1]"
2155;0.0849871635437;"[(276.5, 390.5), (699.5, 331.5)]";"[0, 0]"
2156;0.0828042030334;"[(698.5, 330.5), (724.5, 375.5)]";"[0, 1]"
2157;0.0823900699615;"[(699.5, 330.5), (272.5, 388.5), (724.5, 375.5)]";"[0, 0, 1]"
2158;0.0673048496246;"[(699.5, 330.5), (270.5, 389.5), (724.5, 375.5)]";"[0, 0, 1]"
2159;0.0606050491333;"[(699.5, 333.5), (724.5, 377.5)]";"[0, 1]"
2160;0.0536549091339;"[(701.5, 333.5), (724.5, 379.5)]";"[0, 1]"
2161;0.0702619552612;"[(697.5, 333.5)]";"[0]"
2162;0.090301990509;"[(697.5, 332.5), (724.5, 377.5)]";"[0, 1]"
2163;0.0571970939636;"[(697.5, 332.5)]";"[0]"
2164;0.0727660655975;"[(227.5, 380.5), (724.5, 377.5), (429.5, 387.5)]";"[0, 1, 1]"
2165;0.0536379814148;"[(253.5, 389.5), (724.5, 378.5)]";"[0, 1]"
2166;0.0619759559631;"[(651.5, 331.5)]";"[0]"
2167;0.0522119998932;"[(700.5, 334.5), (724.5, 381.5), (28.5, 379.5)]";"[0, 1, 1]"
2168;0.0702888965607;"[]";"[]"
2169;0.0716798305511;"[(699.5, 332.5), (724.5, 379.5)]";"[0, 1]"
2170;0.0907490253448;"[(698.5, 326.5)]";"[0]"
2171;0.0858330726624;"[(695.5, 317.5), (722.5, 365.5)]";"[0, 1]"
2172;0.0850930213928;"[]";"[]"
2173;0.0716850757599;"[(721.5, 363.5)]";"[1]"
2174;0.0672378540039;"[(695.5, 321.5), (720.5, 370.5)]";"[0, 1]"
2175;0.0723450183868;"[(693.5, 330.5)]";"[0]"
2176;0.0556499958038;"[(692.5, 334.5), (675.5, 361.5)]";"[0, 1]"
2177;0.0686719417572;"[(690.5, 331.5)]";"[0]"
2178;0.0674121379852;"[(689.5, 323.5), (716.5, 372.5)]";"[0, 1]"
2179;0.0508518218994;"[(689.5, 314.5), (671.5, 341.5)]";"[0, 1]"
2180;0.0688729286194;"[(688.5, 308.5), (361.5, 356.5), (714.5, 357.5)]";"[0, 0, 1]"
2181;0.0522530078888;"[(688.5, 310.5)]";"[0]"
2182;0.0734279155731;"[(688.5, 316.5), (175.5, 321.5), (716.5, 364.5), (460.5, 369.5)]";"[0, 1, 1, 1]"
2183;0.0849509239197;"[(688.5, 320.5), (717.5, 370.5), (461.5, 385.5)]";"[0, 1, 1]"
2184;0.0905017852783;"[(690.5, 325.5), (718.5, 374.5)]";"[0, 1]"
2185;0.0859909057617;"[(693.5, 322.5), (461.5, 388.5)]";"[0, 1]"
2186;0.0602788925171;"[(692.5, 322.5), (720.5, 372.5)]";"[0, 1]"
2187;0.0593299865723;"[(693.5, 318.5), (675.5, 346.5), (458.5, 371.5)]";"[0, 1, 1]"
2188;0.0630440711975;"[(695.5, 317.5), (325.5, 355.5)]";"[0, 0]"
2189;0.0708889961243;"[(694.5, 310.5), (321.5, 351.5), (459.5, 376.5)]";"[0, 0, 1]"
2190;0.0927548408508;"[(694.5, 308.5), (723.5, 361.5)]";"[0, 1]"
2191;0.0862340927124;"[(697.5, 307.5), (206.5, 361.5), (723.5, 359.5)]";"[0, 0, 1]"
2192;0.0603380203247;"[(699.5, 307.5), (678.5, 333.5)]";"[0, 1]"
2193;0.0711300373077;"[(696.5, 304.5), (679.5, 334.5), (133.5, 301.5)]";"[0, 1, 1]"
2194;0.0603220462799;"[(698.5, 308.5)]";"[0]"
2195;0.0695569515228;"[(700.5, 310.5), (681.5, 339.5), (361.5, 373.5)]";"[0, 1, 1]"
2196;0.0926370620728;"[(698.5, 309.5)]";"[0]"
2197;0.0854740142822;"[(698.5, 309.5), (727.5, 362.5)]";"[0, 1]"
2198;0.0615508556366;"[(700.5, 306.5), (183.5, 365.5), (681.5, 337.5)]";"[0, 0, 1]"
2199;0.0773410797119;"[(700.5, 304.5), (267.5, 308.5), (728.5, 359.5)]";"[0, 0, 1]"
2200;0.0907740592957;"[(704.5, 301.5)]";"[0]"
2201;0.087394952774;"[(702.5, 299.5), (729.5, 355.5)]";"[0, 1]"
2202;0.0613379478455;"[(702.5, 299.5), (683.5, 330.5)]";"[0, 1]"
2203;0.0608911514282;"[(701.5, 300.5), (683.5, 332.5)]";"[0, 1]"
2204;0.0563538074493;"[(700.5, 302.5), (371.5, 363.5), (682.5, 333.5)]";"[0, 0, 1]"
2205;0.0667321681976;"[(702.5, 302.5), (682.5, 335.5)]";"[0, 1]"
2206;0.0807371139526;"[(701.5, 304.5), (905.5, 370.5), (729.5, 362.5)]";"[0, 0, 1]"
2207;0.0863499641418;"[(701.5, 308.5), (729.5, 367.5)]";"[0, 1]"
2208;0.0907709598541;"[(702.5, 312.5), (151.5, 376.5), (908.5, 379.5)]";"[0, 0, 0]"
2209;0.0507900714874;"[(700.5, 314.5), (147.5, 378.5), (909.5, 380.5), (681.5, 346.5)]";"[0, 0, 0, 1]"
2210;0.0577569007874;"[(703.5, 310.5)]";"[0]"
2211;0.0609431266785;"[(702.5, 307.5), (914.5, 375.5)]";"[0, 0]"
2212;0.0808720588684;"[(702.5, 306.5), (730.5, 366.5), (326.5, 375.5)]";"[0, 1, 1]"
2213;0.0550198554993;"[(917.5, 372.5), (731.5, 363.5)]";"[0, 1]"
2214;0.0636219978333;"[(704.5, 300.5), (325.5, 377.5), (295.5, 364.5), (681.5, 335.5)]";"[0, 0, 1, 1]"
2215;0.0620160102844;"[(702.5, 295.5), (132.5, 362.5)]";"[0, 0]"
