frameno;frametime;red_count;green_count;red_pos;green_pos
1331;0.0065598487854;0;1;"[]";"[(356.5, 114.5)]"
1332;0.00977611541748;0;1;"[]";"[(360.5, 117.5)]"
1333;0.0119829177856;0;1;"[]";"[(363.5, 118.5)]"
1334;0.0124020576477;0;1;"[]";"[(363.5, 117.5)]"
1335;0.0112779140472;0;1;"[]";"[(364.5, 114.5)]"
1336;0.0114901065826;0;1;"[]";"[(365.5, 112.5)]"
1337;0.0118811130524;0;1;"[]";"[(362.5, 110.5)]"
1338;0.0119771957397;0;1;"[]";"[(356.5, 108.5)]"
1339;0.0116620063782;0;1;"[]";"[(354.5, 106.5)]"
1340;0.0115039348602;0;1;"[]";"[(358.5, 111.5)]"
1341;0.0105020999908;0;1;"[]";"[(360.5, 115.5)]"
1342;0.0109651088715;0;1;"[]";"[(362.5, 114.5)]"
1343;0.0114121437073;0;1;"[]";"[(366.5, 114.5)]"
1344;0.0116751194;0;1;"[]";"[(368.5, 116.5)]"
1345;0.0117249488831;0;1;"[]";"[(370.5, 116.5)]"
1346;0.0117149353027;0;1;"[]";"[(371.5, 115.5)]"
1347;0.0119259357452;0;1;"[]";"[(373.5, 115.5)]"
1348;0.0118381977081;0;1;"[]";"[(375.5, 114.5)]"
1349;0.0117919445038;0;1;"[]";"[(374.5, 115.5)]"
1350;0.0104720592499;0;1;"[]";"[(373.5, 117.5)]"
1351;0.011638879776;0;1;"[]";"[(373.5, 119.5)]"
1352;0.0118391513824;0;1;"[]";"[(383.5, 119.5)]"
1353;0.0119938850403;0;1;"[]";"[(393.5, 121.5)]"
1354;0.0115737915039;0;1;"[]";"[(403.5, 122.5)]"
1355;0.0119388103485;0;1;"[]";"[(407.5, 118.5)]"
1356;0.0120389461517;0;1;"[]";"[(409.5, 112.5)]"
1357;0.0118060112;0;1;"[]";"[(409.5, 106.5)]"
1358;0.0080509185791;0;1;"[]";"[(409.5, 104.5)]"
1359;0.0114190578461;0;1;"[]";"[(410.5, 105.5)]"
1360;0.0080418586731;0;1;"[]";"[(410.5, 106.5)]"
1361;0.0121691226959;0;1;"[]";"[(406.5, 107.5)]"
1362;0.0124750137329;0;1;"[]";"[(406.5, 109.5)]"
1363;0.0122110843658;0;1;"[]";"[(405.5, 111.5)]"
1364;0.00812602043152;0;2;"[]";"[(402.5, 116.5), (164.5, 98.5)]"
