frameno;frametime;filtertime;radious;cir_pos;color
211;0.0928890705109;0.00169491767883;"[6.6708322, 7.3824115]";"[(649, 264), (388, 246)]";"[0, 0]"
212;0.0979890823364;0.00174999237061;"[5.7008772, 6.6708322]";"[(391, 249), (649, 265)]";"[0, 0]"
213;0.0934028625488;0.00135278701782;"[6.041523]";"[(651, 267)]";"[0]"
214;0.0963180065155;0.00131392478943;"[6.041523, 6.6708322, 5.7008772]";"[(651, 268), (390, 252), (861, 413)]";"[0, 0, 0]"
215;0.117108106613;0.00144696235657;"[6.041523, 5.7008772]";"[(651, 269), (392, 253)]";"[0, 0]"
216;0.103776216507;0.00132203102112;"[6.041523, 5.7008772, 5.7008772]";"[(653, 269), (393, 253), (862, 413)]";"[0, 0, 0]"
217;0.113649129868;0.00146985054016;"[6.3639612]";"[(651, 268)]";"[0]"
218;0.0922470092773;0.00135397911072;"[6.3639612, 5.7008772]";"[(647, 268), (387, 252)]";"[0, 0]"
219;0.115912914276;0.00146508216858;"[6.041523, 5.7008772]";"[(643, 269), (383, 251)]";"[0, 0]"
220;0.107428073883;0.00177907943726;"[6.041523, 6.6708322]";"[(643, 269), (382, 252)]";"[0, 0]"
221;0.103623151779;0.00168895721436;"[6.9641943, 6.6708322]";"[(644, 269), (384, 253)]";"[0, 0]"
222;0.126091957092;0.00148606300354;"[7.905694]";"[(649, 269)]";"[0]"
223;0.122641086578;0.00146007537842;"[5.7008772]";"[(647, 270)]";"[0]"
224;0.108406066895;0.00188684463501;"[6.6708322]";"[(648, 269)]";"[0]"
225;0.118028879166;0.00190806388855;"[5.7008772]";"[(647, 269)]";"[0]"
226;0.103786945343;0.00132894515991;"[6.6708322, 6.6708322, 5.7008772]";"[(648, 267), (386, 252), (858, 411)]";"[0, 0, 0]"
227;0.102874040604;0.0013279914856;"[6.6708322, 5.7008772]";"[(646, 266), (386, 251)]";"[0, 0]"
228;0.118070840836;0.00158214569092;"[6.3639612]";"[(643, 264)]";"[0]"
229;0.11358499527;0.0014488697052;"[6.6708322, 5.7008772]";"[(642, 263), (383, 249)]";"[0, 0]"
230;0.101098775864;0.00138115882874;"[5.7008772, 7.905694, 5.7008772]";"[(383, 249), (645, 263), (33, 531)]";"[0, 0, 0]"
